timestamp,wind_onshore_mw,wind_offshore_mw,photovoltaics_mw,hydro_runofriver_mw,biomass_mw,other_renewables_mw,lignite_mw,hard_coal_mw,fossil_gas_mw,nuclear_mw,other_conventional_mw,pumped_storage_generation_mw,demand_mw,curtailment_or_exports_mw,unserved_or_imports_mw,total_generation_mw
2025-01-01 00:00:00+0100,33339.2,3096.5,0.0,2518.3,5848.3,1511.3,12843.1,0.0,0.0,0.0,0.0,0.0,59156.7,0.0,0.0,59156.7
2025-01-01 00:15:00+0100,19699.1,3926.7,0.0,2500.0,6015.0,1619.6,16480.6,7706.5,0.0,0.0,0.0,0.0,57947.4,0.0,0.0,57947.4
2025-01-01 00:30:00+0100,31180.3,4102.7,0.0,2557.9,6007.8,1928.2,13783.1,0.0,0.0,0.0,0.0,0.0,59560.1,0.0,0.0,59560.1
2025-01-01 00:45:00+0100,27885.4,4190.4,0.0,2616.7,6155.5,2015.0,16480.6,389.5,0.0,0.0,0.0,0.0,59733.1,0.0,0.0,59733.1
2025-01-01 01:00:00+0100,31534.4,3596.9,0.0,2578.5,6027.1,1952.0,11444.4,0.0,0.0,0.0,0.0,0.0,57133.3,0.0,0.0,57133.3
2025-01-01 01:15:00+0100,22336.7,4478.4,0.0,2578.7,6068.0,1725.7,16480.6,4052.8,0.0,0.0,0.0,0.0,57720.9,0.0,0.0,57720.9
2025-01-01 01:30:00+0100,26342.7,3868.8,0.0,2500.0,5935.7,1761.3,16480.6,2123.8,0.0,0.0,0.0,0.0,59013.0,0.0,0.0,59013.0
2025-01-01 01:45:00+0100,33617.3,3482.9,0.0,2500.0,6112.1,1759.6,11148.1,0.0,0.0,0.0,0.0,0.0,58620.0,0.0,0.0,58620.0
2025-01-01 02:00:00+0100,31617.0,4112.5,0.0,2500.0,5995.3,1718.5,12955.2,0.0,0.0,0.0,0.0,0.0,58898.5,0.0,0.0,58898.5
2025-01-01 02:15:00+0100,41365.4,4377.8,0.0,2695.9,5968.5,1825.5,1924.4,0.0,0.0,0.0,0.0,0.0,58157.5,0.0,0.0,58157.5
2025-01-01 02:30:00+0100,34485.7,4065.4,0.0,2500.0,5894.1,1871.1,10915.5,0.0,0.0,0.0,0.0,0.0,59731.8,0.0,0.0,59731.8
2025-01-01 02:45:00+0100,33640.7,4446.4,0.0,2559.8,5967.6,1822.0,11223.0,0.0,0.0,0.0,0.0,0.0,59659.4,0.0,0.0,59659.4
2025-01-01 03:00:00+0100,26710.1,3371.9,0.0,2500.0,5869.2,1679.4,16480.6,2431.6,0.0,0.0,0.0,0.0,59042.7,0.0,0.0,59042.7
2025-01-01 03:15:00+0100,28601.5,3910.8,0.0,2500.0,5914.9,1894.5,16480.6,725.0,0.0,0.0,0.0,0.0,60027.2,0.0,0.0,60027.2
2025-01-01 03:30:00+0100,35494.3,3527.1,0.0,2615.3,6049.1,1609.9,10173.5,0.0,0.0,0.0,0.0,0.0,59469.0,0.0,0.0,59469.0
2025-01-01 03:45:00+0100,34049.6,5201.3,0.0,2500.0,5999.6,1847.8,8719.2,0.0,0.0,0.0,0.0,0.0,58317.4,0.0,0.0,58317.4
2025-01-01 04:00:00+0100,37338.4,4020.3,0.0,2500.0,6020.8,1759.2,7833.8,0.0,0.0,0.0,0.0,0.0,59472.6,0.0,0.0,59472.6
2025-01-01 04:15:00+0100,38047.7,4895.4,0.0,2552.5,5964.3,1738.5,5137.0,0.0,0.0,0.0,0.0,0.0,58335.3,0.0,0.0,58335.3
2025-01-01 04:30:00+0100,43286.6,5537.4,0.0,2500.0,6074.3,2011.3,644.8,0.0,0.0,0.0,0.0,0.0,60054.3,0.0,0.0,60054.3
2025-01-01 04:45:00+0100,32458.3,4699.4,0.0,2526.2,5934.0,1856.6,11817.3,0.0,0.0,0.0,0.0,0.0,59291.8,0.0,0.0,59291.8
2025-01-01 05:00:00+0100,29000.2,3335.9,0.0,2595.8,5983.4,2037.4,16297.5,0.0,0.0,0.0,0.0,0.0,59250.2,0.0,0.0,59250.2
2025-01-01 05:15:00+0100,34113.6,4238.1,0.0,2500.0,5950.1,2002.8,10085.1,0.0,0.0,0.0,0.0,0.0,58889.6,0.0,0.0,58889.6
2025-01-01 05:30:00+0100,27689.2,4519.0,0.0,2500.0,5958.1,1764.4,16480.6,1781.7,0.0,0.0,0.0,0.0,60693.0,0.0,0.0,60693.0
2025-01-01 05:45:00+0100,21241.0,3691.1,0.0,2640.5,5974.5,1872.7,16480.6,7646.1,0.0,0.0,0.0,0.0,59546.6,0.0,0.0,59546.6
2025-01-01 06:00:00+0100,28238.9,4323.1,0.0,2500.0,5998.3,1636.1,16480.6,216.5,0.0,0.0,0.0,0.0,59393.5,0.0,0.0,59393.5
2025-01-01 06:15:00+0100,22651.5,3993.4,229.6,2601.0,6050.9,1855.5,16480.6,5691.2,0.0,0.0,0.0,0.0,59553.5,0.0,0.0,59553.5
2025-01-01 06:30:00+0100,36111.4,5432.8,571.6,2500.0,5952.0,1900.3,7968.1,0.0,0.0,0.0,0.0,0.0,60436.2,0.0,0.0,60436.2
2025-01-01 06:45:00+0100,47510.8,5499.2,777.3,2745.0,6034.0,1870.7,0.0,0.0,0.0,0.0,0.0,0.0,60365.3,4071.7,0.0,64437.0
2025-01-01 07:00:00+0100,41642.2,6504.6,1105.9,2500.0,6012.1,1884.3,828.0,0.0,0.0,0.0,0.0,0.0,60477.1,0.0,0.0,60477.1
2025-01-01 07:15:00+0100,49654.7,5139.4,1494.1,2646.9,5918.2,1731.0,0.0,0.0,0.0,0.0,0.0,0.0,60550.1,6034.3,0.0,66584.4
2025-01-01 07:30:00+0100,46713.1,5301.2,905.5,2500.0,6062.3,1806.2,0.0,0.0,0.0,0.0,0.0,0.0,62132.0,1156.4,0.0,63288.4
2025-01-01 07:45:00+0100,46071.3,4501.1,3377.5,2500.0,6040.5,2111.5,0.0,0.0,0.0,0.0,0.0,0.0,59864.8,4737.0,0.0,64601.8
2025-01-01 08:00:00+0100,32374.8,5274.6,2471.1,2523.0,6045.4,2025.0,9064.7,0.0,0.0,0.0,0.0,0.0,59778.6,0.0,0.0,59778.6
2025-01-01 08:15:00+0100,42948.5,5425.1,4405.1,2618.8,5983.0,1926.9,0.0,0.0,0.0,0.0,0.0,0.0,59498.9,3808.4,0.0,63307.3
2025-01-01 08:30:00+0100,46766.4,5618.2,4081.6,2526.2,6078.3,1880.6,0.0,0.0,0.0,0.0,0.0,0.0,60760.3,6191.0,0.0,66951.4
2025-01-01 08:45:00+0100,46273.3,6157.9,6282.0,2749.7,6081.1,1938.1,0.0,0.0,0.0,0.0,0.0,0.0,61180.7,8301.3,0.0,69482.1
2025-01-01 09:00:00+0100,38336.4,5887.9,5718.3,2674.5,5848.0,1704.3,0.0,0.0,0.0,0.0,0.0,0.0,60006.5,162.8,0.0,60169.3
2025-01-01 09:15:00+0100,51569.5,6076.2,6816.1,2615.1,6090.9,1846.2,0.0,0.0,0.0,0.0,0.0,0.0,59285.2,15728.9,0.0,75014.0
2025-01-01 09:30:00+0100,48446.6,5827.3,4869.0,2631.0,5959.5,1736.1,0.0,0.0,0.0,0.0,0.0,0.0,59221.9,10247.6,0.0,69469.4
2025-01-01 09:45:00+0100,52079.0,5703.2,3978.9,2507.5,5856.3,1716.9,0.0,0.0,0.0,0.0,0.0,0.0,60465.2,11376.8,0.0,71841.9
2025-01-01 10:00:00+0100,36263.0,5599.0,6883.1,2500.0,6109.7,1825.9,1279.8,0.0,0.0,0.0,0.0,0.0,60460.3,0.0,0.0,60460.3
2025-01-01 10:15:00+0100,44553.6,5021.1,3187.2,2572.0,5893.8,1897.7,0.0,0.0,0.0,0.0,0.0,0.0,60190.9,2934.5,0.0,63125.5
2025-01-01 10:30:00+0100,42999.1,6003.9,6279.5,2664.8,5976.6,1877.1,0.0,0.0,0.0,0.0,0.0,0.0,59015.4,6785.6,0.0,65801.0
2025-01-01 10:45:00+0100,41830.8,5125.1,4976.1,2500.0,6007.5,1631.7,0.0,0.0,0.0,0.0,0.0,0.0,59739.6,2331.7,0.0,62071.3
2025-01-01 11:00:00+0100,49113.6,5689.0,5876.0,2542.8,5906.6,1602.6,0.0,0.0,0.0,0.0,0.0,0.0,59558.3,11172.3,0.0,70730.6
2025-01-01 11:15:00+0100,51786.2,6067.8,9187.3,2500.0,6086.3,1771.1,0.0,0.0,0.0,0.0,0.0,0.0,59580.7,17818.0,0.0,77398.7
2025-01-01 11:30:00+0100,46831.0,5059.2,9179.4,2500.0,6011.1,1687.4,0.0,0.0,0.0,0.0,0.0,0.0,60108.2,11159.9,0.0,71268.0
2025-01-01 11:45:00+0100,56916.0,5198.8,7690.0,2500.0,6098.5,1923.8,0.0,0.0,0.0,0.0,0.0,0.0,59475.6,20851.5,0.0,80327.1
2025-01-01 12:00:00+0100,38405.4,5350.4,8811.8,2624.1,5927.3,1762.6,0.0,0.0,0.0,0.0,0.0,0.0,59847.2,3034.4,0.0,62881.5
2025-01-01 12:15:00+0100,53182.5,6401.2,6829.2,2500.0,6005.5,1646.8,0.0,0.0,0.0,0.0,0.0,0.0,59270.5,17294.7,0.0,76565.2
2025-01-01 12:30:00+0100,45345.6,6379.4,13451.4,2627.7,5929.7,1703.2,0.0,0.0,0.0,0.0,0.0,0.0,59455.3,15981.7,0.0,75437.0
